state_id,school_type,num_of_schools
27,playground_facility,85623
28,playground_facility,33051
29,playground_facility,39568
30,playground_facility,702
31,playground_facility,10
32,playground_facility,12061
33,playground_facility,44295
34,playground_facility,521
35,playground_facility,238
1,boundary_wall,9710
2,boundary_wall,12016
3,boundary_wall,28317
4,boundary_wall,201
5,boundary_wall,19105
6,boundary_wall,21740
7,boundary_wall,5720
8,boundary_wall,89607
9,boundary_wall,176042
10,boundary_wall,42122
11,boundary_wall,442
12,boundary_wall,2108
13,boundary_wall,1896
14,boundary_wall,1412
15,boundary_wall,1654
16,boundary_wall,936
17,boundary_wall,2254
18,boundary_wall,18742
19,boundary_wall,40962
20,boundary_wall,13527
21,boundary_wall,46461
22,boundary_wall,30978
23,boundary_wall,63436
24,boundary_wall,41032
25,boundary_wall,111
26,boundary_wall,178
27,boundary_wall,79846
28,boundary_wall,36954
29,boundary_wall,47423
30,boundary_wall,1164
31,boundary_wall,24
32,boundary_wall,13660
33,boundary_wall,45782
34,boundary_wall,685
35,boundary_wall,278
1,girls_toilet,26934
2,girls_toilet,17949
3,girls_toilet,28482
4,girls_toilet,200
5,girls_toilet,22866
6,girls_toilet,21390
7,girls_toilet,4735
8,girls_toilet,107555
9,girls_toilet,244174
10,girls_toilet,71956
11,girls_toilet,1193
12,girls_toilet,3867
13,girls_toilet,2795
14,girls_toilet,4799
15,girls_toilet,3048
16,girls_toilet,4826
17,girls_toilet,11349
18,girls_toilet,55372
19,girls_toilet,92940
20,girls_toilet,45665
21,girls_toilet,66780
22,girls_toilet,49331
23,girls_toilet,134128
24,girls_toilet,42907
25,girls_toilet,117
26,girls_toilet,323
27,girls_toilet,96490
28,girls_toilet,59873
29,girls_toilet,61109
30,girls_toilet,1451
31,girls_toilet,41
32,girls_toilet,16217
33,girls_toilet,56787
34,girls_toilet,693
35,girls_toilet,410
1,boys_toilet,25887
2,boys_toilet,17898
3,boys_toilet,28216
4,boys_toilet,198
5,boys_toilet,22726
6,boys_toilet,20788
7,boys_toilet,4821
8,boys_toilet,105504
9,boys_toilet,241384
10,boys_toilet,71000
11,boys_toilet,1272
12,boys_toilet,3750
13,boys_toilet,2760
14,boys_toilet,4765
15,boys_toilet,2995
16,boys_toilet,4806
17,boys_toilet,11581
18,boys_toilet,53929
19,boys_toilet,90797
20,boys_toilet,45166
21,boys_toilet,63678
22,boys_toilet,48898
23,boys_toilet,132454
24,boys_toilet,42603
25,boys_toilet,117
26,boys_toilet,322
27,boys_toilet,95551
28,boys_toilet,59222
29,boys_toilet,60570
30,boys_toilet,1455
31,boys_toilet,41
32,boys_toilet,15939
33,boys_toilet,56205
34,boys_toilet,686
35,boys_toilet,409
1,drinking_water,26362
2,drinking_water,17999
3,drinking_water,28771
4,drinking_water,201
5,drinking_water,22836
6,drinking_water,22252
7,drinking_water,5751
8,drinking_water,104512
9,drinking_water,242777
10,drinking_water,75544
11,drinking_water,1260
12,drinking_water,3264
13,drinking_water,2294
14,drinking_water,4848
15,drinking_water,2848
16,drinking_water,4352
17,drinking_water,8314
18,drinking_water,56568
19,drinking_water,94207
20,drinking_water,44360
21,drinking_water,68618
22,drinking_water,50291
23,drinking_water,137328
24,drinking_water,44029
25,drinking_water,120
26,drinking_water,323
27,drinking_water,97935
28,drinking_water,57562
29,drinking_water,61724
30,drinking_water,1462
31,drinking_water,41
32,drinking_water,16404
33,drinking_water,57514
34,drinking_water,719
35,drinking_water,410
1,electricity,8078
2,electricity,16401
3,electricity,28757
4,electricity,201
5,electricity,16514
6,electricity,21726
7,electricity,5744
8,electricity,59662
9,electricity,99668
10,electricity,27963
11,electricity,1026
12,electricity,1388
13,electricity,1337
14,electricity,1562
15,electricity,1863
16,electricity,1366
17,electricity,2705
18,electricity,12850
19,electricity,69347
20,electricity,7173
21,electricity,20964
22,electricity,32833
23,electricity,35140
24,electricity,43914
25,electricity,120
26,electricity,322
27,electricity,84392
28,electricity,55922
29,electricity,59781
30,electricity,1458
31,electricity,41
32,electricity,15805
33,electricity,56773
34,electricity,719
35,electricity,359
1,computers,4916
2,computers,4680
3,computers,15136
4,computers,190
5,computers,7910
