,state_id,state_name,area_type,age_group,education_level,male,female,total
14371,21,State - ODISHA,Total,25-29,Preprimary,132121,152694,284815
14372,21,State - ODISHA,Total,30-34,Preprimary,138882,159440,298322
14373,21,State - ODISHA,Total,35-39,Preprimary,170369,171473,341842
14374,21,State - ODISHA,Total,40-44,Preprimary,174474,153592,328066
14375,21,State - ODISHA,Total,45-49,Preprimary,174339,138919,313258
14376,21,State - ODISHA,Total,50-54,Preprimary,143174,111212,254386
14377,21,State - ODISHA,Total,55-59,Preprimary,115714,92101,207815
14378,21,State - ODISHA,Total,60-64,Preprimary,136870,79902,216772
14379,21,State - ODISHA,Total,65-69,Preprimary,105532,50615,156147
14380,21,State - ODISHA,Total,70-74,Preprimary,88864,34246,123110
14381,21,State - ODISHA,Total,75-79,Preprimary,46610,16851,63461
14382,21,State - ODISHA,Total,80+,Preprimary,48894,15208,64102
14383,21,State - ODISHA,Total,Age not stated,Preprimary,6566,6139,12705
14384,21,State - ODISHA,Rural,All ages,Preprimary,2761589,2393228,5154817
14385,21,State - ODISHA,Rural,0-6,Preprimary,0,0,0
14386,21,State - ODISHA,Rural,7,Preprimary,243578,234525,478103
14387,21,State - ODISHA,Rural,8,Preprimary,309951,294721,604672
14388,21,State - ODISHA,Rural,9,Preprimary,271418,260597,532015
14389,21,State - ODISHA,Rural,10,Preprimary,217774,202041,419815
14390,21,State - ODISHA,Rural,11,Preprimary,87019,79764,166783
14391,21,State - ODISHA,Rural,12,Preprimary,45941,42167,88108
14392,21,State - ODISHA,Rural,13,Preprimary,22539,21895,44434
14393,21,State - ODISHA,Rural,14,Preprimary,17604,17764,35368
14394,21,State - ODISHA,Rural,15,Preprimary,19679,19498,39177
14395,21,State - ODISHA,Rural,16,Preprimary,17509,18098,35607
14396,21,State - ODISHA,Rural,17,Preprimary,14463,16002,30465
14397,21,State - ODISHA,Rural,18,Preprimary,23103,24149,47252
14398,21,State - ODISHA,Rural,19,Preprimary,15200,16962,32162
14399,21,State - ODISHA,Rural,20-24,Preprimary,100083,113236,213319
14400,21,State - ODISHA,Rural,25-29,Preprimary,118838,135759,254597
14401,21,State - ODISHA,Rural,30-34,Preprimary,125953,141834,267787
14402,21,State - ODISHA,Rural,35-39,Preprimary,155155,151575,306730
14403,21,State - ODISHA,Rural,40-44,Preprimary,159023,135210,294233
14404,21,State - ODISHA,Rural,45-49,Preprimary,159405,121035,280440
14405,21,State - ODISHA,Rural,50-54,Preprimary,131002,96628,227630
14406,21,State - ODISHA,Rural,55-59,Preprimary,106200,80359,186559
14407,21,State - ODISHA,Rural,60-64,Preprimary,126730,68672,195402
14408,21,State - ODISHA,Rural,65-69,Preprimary,98230,42750,140980
14409,21,State - ODISHA,Rural,70-74,Preprimary,82034,28117,110151
14410,21,State - ODISHA,Rural,75-79,Preprimary,42961,13293,56254
14411,21,State - ODISHA,Rural,80+,Preprimary,44525,11388,55913
14412,21,State - ODISHA,Rural,Age not stated,Preprimary,5672,5189,10861
14413,21,State - ODISHA,Urban,All ages,Preprimary,365181,366573,731754
14414,21,State - ODISHA,Urban,0-6,Preprimary,0,0,0
14415,21,State - ODISHA,Urban,7,Preprimary,49072,45618,94690
14416,21,State - ODISHA,Urban,8,Preprimary,55552,50617,106169
14417,21,State - ODISHA,Urban,9,Preprimary,47033,41972,89005
14418,21,State - ODISHA,Urban,10,Preprimary,36198,31119,67317
14419,21,State - ODISHA,Urban,11,Preprimary,13598,11395,24993
14420,21,State - ODISHA,Urban,12,Preprimary,6412,5385,11797
14421,21,State - ODISHA,Urban,13,Preprimary,2989,2649,5638
14422,21,State - ODISHA,Urban,14,Preprimary,2416,2132,4548
14423,21,State - ODISHA,Urban,15,Preprimary,2576,2198,4774
14424,21,State - ODISHA,Urban,16,Preprimary,2270,2085,4355
14425,21,State - ODISHA,Urban,17,Preprimary,2150,1976,4126
14426,21,State - ODISHA,Urban,18,Preprimary,3271,2839,6110
14427,21,State - ODISHA,Urban,19,Preprimary,2169,2205,4374
14428,21,State - ODISHA,Urban,20-24,Preprimary,12794,13800,26594
14429,21,State - ODISHA,Urban,25-29,Preprimary,13283,16935,30218
14430,21,State - ODISHA,Urban,30-34,Preprimary,12929,17606,30535
14431,21,State - ODISHA,Urban,35-39,Preprimary,15214,19898,35112
14432,21,State - ODISHA,Urban,40-44,Preprimary,15451,18382,33833
14433,21,State - ODISHA,Urban,45-49,Preprimary,14934,17884,32818
14434,21,State - ODISHA,Urban,50-54,Preprimary,12172,14584,26756
14435,21,State - ODISHA,Urban,55-59,Preprimary,9514,11742,21256
14436,21,State - ODISHA,Urban,60-64,Preprimary,10140,11230,21370
14437,21,State - ODISHA,Urban,65-69,Preprimary,7302,7865,15167
14438,21,State - ODISHA,Urban,70-74,Preprimary,6830,6129,12959
14439,21,State - ODISHA,Urban,75-79,Preprimary,3649,3558,7207
14440,21,State - ODISHA,Urban,80+,Preprimary,4369,3820,8189
14441,21,State - ODISHA,Urban,Age not stated,Preprimary,894,950,1844
14442,22,State - CHHATTISGARH,Total,All ages,Preprimary,2011523,1675846,3687369
14443,22,State - CHHATTISGARH,Total,0-6,Preprimary,0,0,0
14444,22,State - CHHATTISGARH,Total,7,Preprimary,184007,177371,361378
14445,22,State - CHHATTISGARH,Total,8,Preprimary,251237,238441,489678
14446,22,State - CHHATTISGARH,Total,9,Preprimary,233333,225225,458558
14447,22,State - CHHATTISGARH,Total,10,Preprimary,248234,232944,481178
14448,22,State - CHHATTISGARH,Total,11,Preprimary,130616,121338,251954
14449,22,State - CHHATTISGARH,Total,12,Preprimary,64233,58069,122302
14450,22,State - CHHATTISGARH,Total,13,Preprimary,27576,25401,52977
14451,22,State - CHHATTISGARH,Total,14,Preprimary,18693,16896,35589
14452,22,State - CHHATTISGARH,Total,15,Preprimary,17231,15045,32276
14453,22,State - CHHATTISGARH,Total,16,Preprimary,14920,14486,29406
14454,22,State - CHHATTISGARH,Total,17,Preprimary,12191,11804,23995
14455,22,State - CHHATTISGARH,Total,18,Preprimary,17657,16565,34222
14456,22,State - CHHATTISGARH,Total,19,Preprimary,11592,11950,23542
14457,22,State - CHHATTISGARH,Total,20-24,Preprimary,66317,70255,136572
14458,22,State - CHHATTISGARH,Total,25-29,Preprimary,65841,68054,133895
14459,22,State - CHHATTISGARH,Total,30-34,Preprimary,67320,72502,139822
14460,22,State - CHHATTISGARH,Total,35-39,Preprimary,82647,71025,153672
14461,22,State - CHHATTISGARH,Total,40-44,Preprimary,89693,59751,149444
14462,22,State - CHHATTISGARH,Total,45-49,Preprimary,96232,46907,143139
14463,22,State - CHHATTISGARH,Total,50-54,Preprimary,73098,34072,107170
14464,22,State - CHHATTISGARH,Total,55-59,Preprimary,56866,26631,83497
14465,22,State - CHHATTISGARH,Total,60-64,Preprimary,56480,23783,80263
14466,22,State - CHHATTISGARH,Total,65-69,Preprimary,49943,16411,66354
14467,22,State - CHHATTISGARH,Total,70-74,Preprimary,38291,9885,48176
14468,22,State - CHHATTISGARH,Total,75-79,Preprimary,18098,4771,22869
14469,22,State - CHHATTISGARH,Total,80+,Preprimary,17593,4899,22492
14470,22,State - CHHATTISGARH,Total,Age not stated,Preprimary,1584,1365,2949
14471,22,State - CHHATTISGARH,Rural,All ages,Preprimary,1642972,1340802,2983774
14472,22,State - CHHATTISGARH,Rural,0-6,Preprimary,0,0,0
14473,22,State - CHHATTISGARH,Rural,7,Preprimary,139396,134919,274315
14474,22,State - CHHATTISGARH,Rural,8,Preprimary,197800,189199,386999
14475,22,State - CHHATTISGARH,Rural,9,Preprimary,186116,181647,367763
14476,22,State - CHHATTISGARH,Rural,10,Preprimary,202252,192189,394441
14477,22,State - CHHATTISGARH,Rural,11,Preprimary,109293,103005,212298
14478,22,State - CHHATTISGARH,Rural,12,Preprimary,53735,49598,103333
14479,22,State - CHHATTISGARH,Rural,13,Preprimary,22904,21532,44436
14480,22,State - CHHATTISGARH,Rural,14,Preprimary,15332,14351,29683
14481,22,State - CHHATTISGARH,Rural,15,Preprimary,14088,12722,26810
14482,22,State - CHHATTISGARH,Rural,16,Preprimary,11985,12354,24339
14483,22,State - CHHATTISGARH,Rural,17,Preprimary,9591,9891,19482
14484,22,State - CHHATTISGARH,Rural,18,Preprimary,13950,14006,27956
14485,22,State - CHHATTISGARH,Rural,19,Preprimary,9021,9913,18934
14486,22,State - CHHATTISGARH,Rural,20-24,Preprimary,53303,58613,111916
14487,22,State - CHHATTISGARH,Rural,25-29,Preprimary,54073,55412,109485
14488,22,State - CHHATTISGARH,Rural,30-34,Preprimary,55999,58954,114953
14489,22,State - CHHATTISGARH,Rural,35-39,Preprimary,69576,56753,126329
14490,22,State - CHHATTISGARH,Rural,40-44,Preprimary,76199,46674,122873
14491,22,State - CHHATTISGARH,Rural,45-49,Preprimary,82057,35196,117253
14492,22,State - CHHATTISGARH,Rural,50-54,Preprimary,62130,25182,87312
14493,22,State - CHHATTISGARH,Rural,55-59,Preprimary,48791,19572,68363
14494,22,State - CHHATTISGARH,Rural,60-64,Preprimary,48688,16654,65342
14495,22,State - CHHATTISGARH,Rural,65-69,Preprimary,43254,10604,53858
14496,22,State - CHHATTISGARH,Rural,70-74,Preprimary,32627,5798,38425
14497,22,State - CHHATTISGARH,Rural,75-79,Preprimary,15088,2544,17632
14498,22,State - CHHATTISGARH,Rural,80+,Preprimary,14718,2647,17365
14499,22,State - CHHATTISGARH,Rural,Age not stated,Preprimary,1006,873,1879
14500,22,State - CHHATTISGARH,Urban,All ages,Preprimary,368551,335044,703595
14501,22,State - CHHATTISGARH,Urban,0-6,Preprimary,0,0,0
14502,22,State - CHHATTISGARH,Urban,7,Preprimary,44611,42452,87063
14503,22,State - CHHATTISGARH,Urban,8,Preprimary,53437,49242,102679
14504,22,State - CHHATTISGARH,Urban,9,Preprimary,47217,43578,90795
14505,22,State - CHHATTISGARH,Urban,10,Preprimary,45982,40755,86737
14506,22,State - CHHATTISGARH,Urban,11,Preprimary,21323,18333,39656
14507,22,State - CHHATTISGARH,Urban,12,Preprimary,10498,8471,18969
14508,22,State - CHHATTISGARH,Urban,13,Preprimary,4672,3869,8541
14509,22,State - CHHATTISGARH,Urban,14,Preprimary,3361,2545,5906
14510,22,State - CHHATTISGARH,Urban,15,Preprimary,3143,2323,5466
14511,22,State - CHHATTISGARH,Urban,16,Preprimary,2935,2132,5067
14512,22,State - CHHATTISGARH,Urban,17,Preprimary,2600,1913,4513
14513,22,State - CHHATTISGARH,Urban,18,Preprimary,3707,2559,6266
14514,22,State - CHHATTISGARH,Urban,19,Preprimary,2571,2037,4608
14515,22,State - CHHATTISGARH,Urban,20-24,Preprimary,13014,11642,24656
14516,22,State - CHHATTISGARH,Urban,25-29,Preprimary,11768,12642,24410
14517,22,State - CHHATTISGARH,Urban,30-34,Preprimary,11321,13548,24869
14518,22,State - CHHATTISGARH,Urban,35-39,Preprimary,13071,14272,27343
14519,22,State - CHHATTISGARH,Urban,40-44,Preprimary,13494,13077,26571
14520,22,State - CHHATTISGARH,Urban,45-49,Preprimary,14175,11711,25886
14521,22,State - CHHATTISGARH,Urban,50-54,Preprimary,10968,8890,19858
14522,22,State - CHHATTISGARH,Urban,55-59,Preprimary,8075,7059,15134
14523,22,State - CHHATTISGARH,Urban,60-64,Preprimary,7792,7129,14921
14524,22,State - CHHATTISGARH,Urban,65-69,Preprimary,6689,5807,12496
14525,22,State - CHHATTISGARH,Urban,70-74,Preprimary,5664,4087,9751
14526,22,State - CHHATTISGARH,Urban,75-79,Preprimary,3010,2227,5237
14527,22,State - CHHATTISGARH,Urban,80+,Preprimary,2875,2252,5127
14528,22,State - CHHATTISGARH,Urban,Age not stated,Preprimary,578,492,1070
14529,23,State - MADHYA PRADESH,Total,All ages,Preprimary,5242949,4339265,9582214
14530,23,State - MADHYA PRADESH,Total,0-6,Preprimary,0,0,0
14531,23,State - MADHYA PRADESH,Total,7,Preprimary,586611,546311,1132922
14532,23,State - MADHYA PRADESH,Total,8,Preprimary,789944,728810,1518754
14533,23,State - MADHYA PRADESH,Total,9,Preprimary,644646,599184,1243830
14534,23,State - MADHYA PRADESH,Total,10,Preprimary,653264,602491,1255755
14535,23,State - MADHYA PRADESH,Total,11,Preprimary,320577,279336,599913
14536,23,State - MADHYA PRADESH,Total,12,Preprimary,190600,169695,360295
14537,23,State - MADHYA PRADESH,Total,13,Preprimary,97706,79900,177606
14538,23,State - MADHYA PRADESH,Total,14,Preprimary,59267,55378,114645
14539,23,State - MADHYA PRADESH,Total,15,Preprimary,54292,46519,100811
14540,23,State - MADHYA PRADESH,Total,16,Preprimary,55261,46335,101596
14541,23,State - MADHYA PRADESH,Total,17,Preprimary,34806,29471,64277
14542,23,State - MADHYA PRADESH,Total,18,Preprimary,57456,42052,99508
14543,23,State - MADHYA PRADESH,Total,19,Preprimary,31463,28058,59521
14544,23,State - MADHYA PRADESH,Total,20-24,Preprimary,191275,162473,353748
14545,23,State - MADHYA PRADESH,Total,25-29,Preprimary,179012,158341,337353
14546,23,State - MADHYA PRADESH,Total,30-34,Preprimary,178892,156219,335111
14547,23,State - MADHYA PRADESH,Total,35-39,Preprimary,186598,142908,329506
14548,23,State - MADHYA PRADESH,Total,40-44,Preprimary,181841,119657,301498
14549,23,State - MADHYA PRADESH,Total,45-49,Preprimary,171772,94545,266317
14550,23,State - MADHYA PRADESH,Total,50-54,Preprimary,139125,68040,207165
14551,23,State - MADHYA PRADESH,Total,55-59,Preprimary,100221,51468,151689
14552,23,State - MADHYA PRADESH,Total,60-64,Preprimary,103792,46777,150569
14553,23,State - MADHYA PRADESH,Total,65-69,Preprimary,83503,32834,116337
14554,23,State - MADHYA PRADESH,Total,70-74,Preprimary,69165,22634,91799
14555,23,State - MADHYA PRADESH,Total,75-79,Preprimary,35364,11884,47248
14556,23,State - MADHYA PRADESH,Total,80+,Preprimary,41850,13953,55803
14557,23,State - MADHYA PRADESH,Total,Age not stated,Preprimary,4646,3992,8638
14558,23,State - MADHYA PRADESH,Rural,All ages,Preprimary,4119981,3359669,7479650
14559,23,State - MADHYA PRADESH,Rural,0-6,Preprimary,0,0,0
14560,23,State - MADHYA PRADESH,Rural,7,Preprimary,433401,407392,840793
14561,23,State - MADHYA PRADESH,Rural,8,Preprimary,603508,563739,1167247
14562,23,State - MADHYA PRADESH,Rural,9,Preprimary,488724,462769,951493
14563,23,State - MADHYA PRADESH,Rural,10,Preprimary,504136,475605,979741
14564,23,State - MADHYA PRADESH,Rural,11,Preprimary,250100,223877,473977
14565,23,State - MADHYA PRADESH,Rural,12,Preprimary,152454,140190,292644
14566,23,State - MADHYA PRADESH,Rural,13,Preprimary,77752,65731,143483
14567,23,State - MADHYA PRADESH,Rural,14,Preprimary,47381,46325,93706
14568,23,State - MADHYA PRADESH,Rural,15,Preprimary,43857,39463,83320
14569,23,State - MADHYA PRADESH,Rural,16,Preprimary,44410,38780,83190
14570,23,State - MADHYA PRADESH,Rural,17,Preprimary,27218,24650,51868
14571,23,State - MADHYA PRADESH,Rural,18,Preprimary,45542,35561,81103
14572,23,State - MADHYA PRADESH,Rural,19,Preprimary,24342,23425,47767
14573,23,State - MADHYA PRADESH,Rural,20-24,Preprimary,154450,135637,290087
14574,23,State - MADHYA PRADESH,Rural,25-29,Preprimary,149001,129289,278290
14575,23,State - MADHYA PRADESH,Rural,30-34,Preprimary,150225,125690,275915
14576,23,State - MADHYA PRADESH,Rural,35-39,Preprimary,156750,110506,267256
14577,23,State - MADHYA PRADESH,Rural,40-44,Preprimary,152134,89870,242004
14578,23,State - MADHYA PRADESH,Rural,45-49,Preprimary,142973,67611,210584
14579,23,State - MADHYA PRADESH,Rural,50-54,Preprimary,115346,46923,162269
14580,23,State - MADHYA PRADESH,Rural,55-59,Preprimary,83522,34043,117565
14581,23,State - MADHYA PRADESH,Rural,60-64,Preprimary,85666,28726,114392
14582,23,State - MADHYA PRADESH,Rural,65-69,Preprimary,68806,18349,87155
14583,23,State - MADHYA PRADESH,Rural,70-74,Preprimary,55430,11317,66747
14584,23,State - MADHYA PRADESH,Rural,75-79,Preprimary,27585,5246,32831
14585,23,State - MADHYA PRADESH,Rural,80+,Preprimary,32200,6412,38612
14586,23,State - MADHYA PRADESH,Rural,Age not stated,Preprimary,3068,2543,5611
14587,23,State - MADHYA PRADESH,Urban,All ages,Preprimary,1122968,979596,2102564
14588,23,State - MADHYA PRADESH,Urban,0-6,Preprimary,0,0,0
14589,23,State - MADHYA PRADESH,Urban,7,Preprimary,153210,138919,292129
14590,23,State - MADHYA PRADESH,Urban,8,Preprimary,186436,165071,351507
14591,23,State - MADHYA PRADESH,Urban,9,Preprimary,155922,136415,292337
14592,23,State - MADHYA PRADESH,Urban,10,Preprimary,149128,126886,276014
14593,23,State - MADHYA PRADESH,Urban,11,Preprimary,70477,55459,125936
14594,23,State - MADHYA PRADESH,Urban,12,Preprimary,38146,29505,67651
14595,23,State - MADHYA PRADESH,Urban,13,Preprimary,19954,14169,34123
14596,23,State - MADHYA PRADESH,Urban,14,Preprimary,11886,9053,20939
14597,23,State - MADHYA PRADESH,Urban,15,Preprimary,10435,7056,17491
14598,23,State - MADHYA PRADESH,Urban,16,Preprimary,10851,7555,18406
14599,23,State - MADHYA PRADESH,Urban,17,Preprimary,7588,4821,12409
14600,23,State - MADHYA PRADESH,Urban,18,Preprimary,11914,6491,18405
14601,23,State - MADHYA PRADESH,Urban,19,Preprimary,7121,4633,11754
14602,23,State - MADHYA PRADESH,Urban,20-24,Preprimary,36825,26836,63661
14603,23,State - MADHYA PRADESH,Urban,25-29,Preprimary,30011,29052,59063
14604,23,State - MADHYA PRADESH,Urban,30-34,Preprimary,28667,30529,59196
14605,23,State - MADHYA PRADESH,Urban,35-39,Preprimary,29848,32402,62250
14606,23,State - MADHYA PRADESH,Urban,40-44,Preprimary,29707,29787,59494
14607,23,State - MADHYA PRADESH,Urban,45-49,Preprimary,28799,26934,55733
14608,23,State - MADHYA PRADESH,Urban,50-54,Preprimary,23779,21117,44896
14609,23,State - MADHYA PRADESH,Urban,55-59,Preprimary,16699,17425,34124
14610,23,State - MADHYA PRADESH,Urban,60-64,Preprimary,18126,18051,36177
14611,23,State - MADHYA PRADESH,Urban,65-69,Preprimary,14697,14485,29182
14612,23,State - MADHYA PRADESH,Urban,70-74,Preprimary,13735,11317,25052
14613,23,State - MADHYA PRADESH,Urban,75-79,Preprimary,7779,6638,14417
14614,23,State - MADHYA PRADESH,Urban,80+,Preprimary,9650,7541,17191
14615,23,State - MADHYA PRADESH,Urban,Age not stated,Preprimary,1578,1449,3027
14616,24,State - GUJARAT,Total,All ages,Preprimary,4486708,3976121,8462829
14617,24,State - GUJARAT,Total,0-6,Preprimary,0,0,0
14618,24,State - GUJARAT,Total,7,Preprimary,500000,428835,928835
14619,24,State - GUJARAT,Total,8,Preprimary,559703,479174,1038877
14620,24,State - GUJARAT,Total,9,Preprimary,499621,419988,919609
14621,24,State - GUJARAT,Total,10,Preprimary,373972,312650,686622
14622,24,State - GUJARAT,Total,11,Preprimary,145932,123754,269686
14623,24,State - GUJARAT,Total,12,Preprimary,70334,65397,135731
14624,24,State - GUJARAT,Total,13,Preprimary,39078,41285,80363
14625,24,State - GUJARAT,Total,14,Preprimary,31148,36171,67319
14626,24,State - GUJARAT,Total,15,Preprimary,34703,39157,73860
14627,24,State - GUJARAT,Total,16,Preprimary,31383,36016,67399
14628,24,State - GUJARAT,Total,17,Preprimary,29464,32705,62169
14629,24,State - GUJARAT,Total,18,Preprimary,40828,43164,83992
14630,24,State - GUJARAT,Total,19,Preprimary,29619,34927,64546
14631,24,State - GUJARAT,Total,20-24,Preprimary,193744,214017,407761
14632,24,State - GUJARAT,Total,25-29,Preprimary,209159,224418,433577
14633,24,State - GUJARAT,Total,30-34,Preprimary,218115,231173,449288
14634,24,State - GUJARAT,Total,35-39,Preprimary,238323,219171,457494
14635,24,State - GUJARAT,Total,40-44,Preprimary,244022,207133,451155
14636,24,State - GUJARAT,Total,45-49,Preprimary,229369,180479,409848
14637,24,State - GUJARAT,Total,50-54,Preprimary,202609,152058,354667
14638,24,State - GUJARAT,Total,55-59,Preprimary,150746,121736,272482
14639,24,State - GUJARAT,Total,60-64,Preprimary,137752,106378,244130
14640,24,State - GUJARAT,Total,65-69,Preprimary,98281,77915,176196
14641,24,State - GUJARAT,Total,70-74,Preprimary,79743,60861,140604
14642,24,State - GUJARAT,Total,75-79,Preprimary,40484,34504,74988
14643,24,State - GUJARAT,Total,80+,Preprimary,42958,38700,81658
14644,24,State - GUJARAT,Total,Age not stated,Preprimary,15618,14355,29973
14645,24,State - GUJARAT,Rural,All ages,Preprimary,2959945,2578827,5538772
14646,24,State - GUJARAT,Rural,0-6,Preprimary,0,0,0
14647,24,State - GUJARAT,Rural,7,Preprimary,296372,263025,559397
14648,24,State - GUJARAT,Rural,8,Preprimary,344284,304519,648803
14649,24,State - GUJARAT,Rural,9,Preprimary,309015,269304,578319
14650,24,State - GUJARAT,Rural,10,Preprimary,228834,199708,428542
14651,24,State - GUJARAT,Rural,11,Preprimary,92438,81911,174349
14652,24,State - GUJARAT,Rural,12,Preprimary,46270,45733,92003
14653,24,State - GUJARAT,Rural,13,Preprimary,26409,29596,56005
14654,24,State - GUJARAT,Rural,14,Preprimary,21482,26554,48036
14655,24,State - GUJARAT,Rural,15,Preprimary,24288,29327,53615
14656,24,State - GUJARAT,Rural,16,Preprimary,21768,26947,48715
14657,24,State - GUJARAT,Rural,17,Preprimary,19803,24148,43951
14658,24,State - GUJARAT,Rural,18,Preprimary,27009,32198,59207
14659,24,State - GUJARAT,Rural,19,Preprimary,19062,25420,44482
14660,24,State - GUJARAT,Rural,20-24,Preprimary,132122,155654,287776
14661,24,State - GUJARAT,Rural,25-29,Preprimary,147892,160717,308609
14662,24,State - GUJARAT,Rural,30-34,Preprimary,156816,163853,320669
14663,24,State - GUJARAT,Rural,35-39,Preprimary,172290,149776,322066
14664,24,State - GUJARAT,Rural,40-44,Preprimary,174367,136322,310689
14665,24,State - GUJARAT,Rural,45-49,Preprimary,162215,111870,274085
14666,24,State - GUJARAT,Rural,50-54,Preprimary,142492,92504,234996
14667,24,State - GUJARAT,Rural,55-59,Preprimary,107702,72970,180672
14668,24,State - GUJARAT,Rural,60-64,Preprimary,99034,61146,160180
14669,24,State - GUJARAT,Rural,65-69,Preprimary,69614,42663,112277
14670,24,State - GUJARAT,Rural,70-74,Preprimary,55574,31368,86942
14671,24,State - GUJARAT,Rural,75-79,Preprimary,26321,15896,42217
14672,24,State - GUJARAT,Rural,80+,Preprimary,27740,17668,45408
14673,24,State - GUJARAT,Rural,Age not stated,Preprimary,8732,8030,16762
14674,24,State - GUJARAT,Urban,All ages,Preprimary,1526763,1397294,2924057
14675,24,State - GUJARAT,Urban,0-6,Preprimary,0,0,0
14676,24,State - GUJARAT,Urban,7,Preprimary,203628,165810,369438
14677,24,State - GUJARAT,Urban,8,Preprimary,215419,174655,390074
14678,24,State - GUJARAT,Urban,9,Preprimary,190606,150684,341290
14679,24,State - GUJARAT,Urban,10,Preprimary,145138,112942,258080
14680,24,State - GUJARAT,Urban,11,Preprimary,53494,41843,95337
14681,24,State - GUJARAT,Urban,12,Preprimary,24064,19664,43728
14682,24,State - GUJARAT,Urban,13,Preprimary,12669,11689,24358
14683,24,State - GUJARAT,Urban,14,Preprimary,9666,9617,19283
14684,24,State - GUJARAT,Urban,15,Preprimary,10415,9830,20245
14685,24,State - GUJARAT,Urban,16,Preprimary,9615,9069,18684
14686,24,State - GUJARAT,Urban,17,Preprimary,9661,8557,18218
14687,24,State - GUJARAT,Urban,18,Preprimary,13819,10966,24785
14688,24,State - GUJARAT,Urban,19,Preprimary,10557,9507,20064
14689,24,State - GUJARAT,Urban,20-24,Preprimary,61622,58363,119985
14690,24,State - GUJARAT,Urban,25-29,Preprimary,61267,63701,124968
14691,24,State - GUJARAT,Urban,30-34,Preprimary,61299,67320,128619
14692,24,State - GUJARAT,Urban,35-39,Preprimary,66033,69395,135428
14693,24,State - GUJARAT,Urban,40-44,Preprimary,69655,70811,140466
14694,24,State - GUJARAT,Urban,45-49,Preprimary,67154,68609,135763
14695,24,State - GUJARAT,Urban,50-54,Preprimary,60117,59554,119671
14696,24,State - GUJARAT,Urban,55-59,Preprimary,43044,48766,91810
14697,24,State - GUJARAT,Urban,60-64,Preprimary,38718,45232,83950
14698,24,State - GUJARAT,Urban,65-69,Preprimary,28667,35252,63919
14699,24,State - GUJARAT,Urban,70-74,Preprimary,24169,29493,53662
14700,24,State - GUJARAT,Urban,75-79,Preprimary,14163,18608,32771
14701,24,State - GUJARAT,Urban,80+,Preprimary,15218,21032,36250
14702,24,State - GUJARAT,Urban,Age not stated,Preprimary,6886,6325,13211
14703,25,State - DAMAN & DIU,Total,All ages,Preprimary,15332,11291,26623
14704,25,State - DAMAN & DIU,Total,0-6,Preprimary,0,0,0
14705,25,State - DAMAN & DIU,Total,7,Preprimary,1579,1435,3014
14706,25,State - DAMAN & DIU,Total,8,Preprimary,1771,1562,3333
14707,25,State - DAMAN & DIU,Total,9,Preprimary,1521,1278,2799
14708,25,State - DAMAN & DIU,Total,10,Preprimary,1136,979,2115
14709,25,State - DAMAN & DIU,Total,11,Preprimary,451,289,740
14710,25,State - DAMAN & DIU,Total,12,Preprimary,223,131,354
14711,25,State - DAMAN & DIU,Total,13,Preprimary,92,75,167
14712,25,State - DAMAN & DIU,Total,14,Preprimary,78,47,125
14713,25,State - DAMAN & DIU,Total,15,Preprimary,88,35,123
14714,25,State - DAMAN & DIU,Total,16,Preprimary,137,45,182
14715,25,State - DAMAN & DIU,Total,17,Preprimary,187,32,219
14716,25,State - DAMAN & DIU,Total,18,Preprimary,388,80,468
14717,25,State - DAMAN & DIU,Total,19,Preprimary,282,62,344
14718,25,State - DAMAN & DIU,Total,20-24,Preprimary,1501,507,2008
14719,25,State - DAMAN & DIU,Total,25-29,Preprimary,1125,635,1760
14720,25,State - DAMAN & DIU,Total,30-34,Preprimary,841,560,1401
14721,25,State - DAMAN & DIU,Total,35-39,Preprimary,808,606,1414
14722,25,State - DAMAN & DIU,Total,40-44,Preprimary,710,587,1297
14723,25,State - DAMAN & DIU,Total,45-49,Preprimary,572,478,1050
14724,25,State - DAMAN & DIU,Total,50-54,Preprimary,456,432,888
14725,25,State - DAMAN & DIU,Total,55-59,Preprimary,384,433,817
14726,25,State - DAMAN & DIU,Total,60-64,Preprimary,336,348,684
14727,25,State - DAMAN & DIU,Total,65-69,Preprimary,259,263,522
14728,25,State - DAMAN & DIU,Total,70-74,Preprimary,182,205,387
14729,25,State - DAMAN & DIU,Total,75-79,Preprimary,128,102,230
14730,25,State - DAMAN & DIU,Total,80+,Preprimary,82,77,159
14731,25,State - DAMAN & DIU,Total,Age not stated,Preprimary,15,8,23
14732,25,State - DAMAN & DIU,Rural,All ages,Preprimary,4407,3559,7966
14733,25,State - DAMAN & DIU,Rural,0-6,Preprimary,0,0,0
14734,25,State - DAMAN & DIU,Rural,7,Preprimary,478,468,946
14735,25,State - DAMAN & DIU,Rural,8,Preprimary,584,540,1124
14736,25,State - DAMAN & DIU,Rural,9,Preprimary,502,451,953
14737,25,State - DAMAN & DIU,Rural,10,Preprimary,311,316,627
14738,25,State - DAMAN & DIU,Rural,11,Preprimary,119,84,203
14739,25,State - DAMAN & DIU,Rural,12,Preprimary,51,21,72
14740,25,State - DAMAN & DIU,Rural,13,Preprimary,17,16,33
14741,25,State - DAMAN & DIU,Rural,14,Preprimary,15,5,20
14742,25,State - DAMAN & DIU,Rural,15,Preprimary,15,7,22
14743,25,State - DAMAN & DIU,Rural,16,Preprimary,23,9,32
14744,25,State - DAMAN & DIU,Rural,17,Preprimary,21,11,32
