,state_id,state_name,area_type,age_group,education_level,male,female,total
159,1,State - JAMMU & KASHMIR,Urban,19,Total,29517,26759,56276
160,1,State - JAMMU & KASHMIR,Urban,20-24,Total,180286,153266,333552
161,1,State - JAMMU & KASHMIR,Urban,25-29,Total,199015,148539,347554
162,1,State - JAMMU & KASHMIR,Urban,30-34,Total,162684,128082,290766
163,1,State - JAMMU & KASHMIR,Urban,35-39,Total,146997,122123,269120
164,1,State - JAMMU & KASHMIR,Urban,40-44,Total,130751,100112,230863
165,1,State - JAMMU & KASHMIR,Urban,45-49,Total,106524,88307,194831
166,1,State - JAMMU & KASHMIR,Urban,50-54,Total,81795,66779,148574
167,1,State - JAMMU & KASHMIR,Urban,55-59,Total,58112,54424,112536
168,1,State - JAMMU & KASHMIR,Urban,60-64,Total,52187,44534,96721
169,1,State - JAMMU & KASHMIR,Urban,65-69,Total,31963,31282,63245
170,1,State - JAMMU & KASHMIR,Urban,70-74,Total,26695,25240,51935
171,1,State - JAMMU & KASHMIR,Urban,75-79,Total,13114,13044,26158
172,1,State - JAMMU & KASHMIR,Urban,80+,Total,16132,16496,32628
173,1,State - JAMMU & KASHMIR,Urban,Age not stated,Total,2888,1388,4276
174,2,State - HIMACHAL PRADESH,Total,All ages,Total,3481873,3382729,6864602
175,2,State - HIMACHAL PRADESH,Total,0-6,Total,407459,370439,777898
176,2,State - HIMACHAL PRADESH,Total,7,Total,63842,58197,122039
177,2,State - HIMACHAL PRADESH,Total,8,Total,61593,55531,117124
178,2,State - HIMACHAL PRADESH,Total,9,Total,63574,55526,119100
179,2,State - HIMACHAL PRADESH,Total,10,Total,71647,62949,134596
180,2,State - HIMACHAL PRADESH,Total,11,Total,67693,59754,127447
181,2,State - HIMACHAL PRADESH,Total,12,Total,66799,59031,125830
182,2,State - HIMACHAL PRADESH,Total,13,Total,65336,58789,124125
183,2,State - HIMACHAL PRADESH,Total,14,Total,66765,60461,127226
184,2,State - HIMACHAL PRADESH,Total,15,Total,67225,60153,127378
185,2,State - HIMACHAL PRADESH,Total,16,Total,66658,59752,126410
186,2,State - HIMACHAL PRADESH,Total,17,Total,65721,58864,124585
187,2,State - HIMACHAL PRADESH,Total,18,Total,72265,64494,136759
188,2,State - HIMACHAL PRADESH,Total,19,Total,64860,60469,125329
189,2,State - HIMACHAL PRADESH,Total,20-24,Total,323720,320146,643866
190,2,State - HIMACHAL PRADESH,Total,25-29,Total,290125,299035,589160
191,2,State - HIMACHAL PRADESH,Total,30-34,Total,271253,275104,546357
192,2,State - HIMACHAL PRADESH,Total,35-39,Total,258230,259736,517966
