,state_id,area_type,education_level,age_group,number_of_women,number_of_married_women,male_children,female_children,fertility_rate
2985,7,Urban,Literate,50-54,212885,209789,305198,270869,2.71
2986,7,Urban,Literate,55-59,157246,154999,233396,208808,2.81
2987,7,Urban,Literate,60-64,130349,127163,204441,186536,3.0
2988,7,Urban,Literate,65-69,75335,71979,118394,110841,3.04
2989,7,Urban,Literate,70-74,50086,48772,82778,77884,3.21
2990,7,Urban,Literate,75-79,27729,27277,48428,46342,3.42
2991,7,Urban,Literate,80+,27985,26718,47012,45668,3.31
2992,7,Urban,Literate but below primary,All Ages,643287,95126,156456,141794,0.46
2993,7,Urban,Literate but below primary,Less than 15,530928,2094,97,100,0.0
2994,7,Urban,Literate but below primary,15-19,14895,1905,480,431,0.06
2995,7,Urban,Literate but below primary,20-24,12595,8754,5925,5850,0.93
2996,7,Urban,Literate but below primary,25-29,13301,12500,14847,14772,2.23
2997,7,Urban,Literate but below primary,30-34,12695,12356,19156,18958,3.0
2998,7,Urban,Literate but below primary,35-39,12273,12133,21289,19425,3.32
2999,7,Urban,Literate but below primary,40-44,9870,9767,18813,16297,3.56
3000,7,Urban,Literate but below primary,45-49,8098,8045,15943,13764,3.67
3001,7,Urban,Literate but below primary,50-54,5810,5762,12007,10154,3.81
3002,7,Urban,Literate but below primary,55-59,5002,4971,10749,9080,3.96
3003,7,Urban,Literate but below primary,60-64,6097,5877,12816,11044,3.91
3004,7,Urban,Literate but below primary,65-69,3777,3679,8154,7215,4.07
3005,7,Urban,Literate but below primary,70-74,3141,3101,6943,6127,4.16
3006,7,Urban,Literate but below primary,75-79,1937,1929,4273,3869,4.2
3007,7,Urban,Literate but below primary,80+,2251,2179,4878,4640,4.23
3008,7,Urban,Primary but below middle,All Ages,1005758,515476,776079,709793,1.48
3009,7,Urban,Primary but below middle,Less than 15,378164,4635,662,591,0.0
3010,7,Urban,Primary but below middle,15-19,90808,11302,2667,2418,0.06
3011,7,Urban,Primary but below middle,20-24,83076,56616,34266,34106,0.82
3012,7,Urban,Primary but below middle,25-29,79033,73929,79901,80788,2.03
3013,7,Urban,Primary but below middle,30-34,70162,68402,97661,96538,2.77
3014,7,Urban,Primary but below middle,35-39,68517,67824,111417,103080,3.13
3015,7,Urban,Primary but below middle,40-44,56291,55874,99024,87724,3.32
3016,7,Urban,Primary but below middle,45-49,45758,45526,84523,73029,3.44
3017,7,Urban,Primary but below middle,50-54,33445,33236,64888,54456,3.57
3018,7,Urban,Primary but below middle,55-59,26298,26187,52681,44185,3.68
3019,7,Urban,Primary but below middle,60-64,28451,27475,55766,48243,3.66
3020,7,Urban,Primary but below middle,65-69,16467,16002,33076,29223,3.78
3021,7,Urban,Primary but below middle,70-74,12343,12167,25345,23196,3.93
3022,7,Urban,Primary but below middle,75-79,7858,7823,16679,15594,4.11
3023,7,Urban,Primary but below middle,80+,8284,8055,16989,16146,4.0
3024,7,Urban,Middle but below matric or secondary,All Ages,808749,458658,583509,536415,1.38
3025,7,Urban,Middle but below matric or secondary,Less than 15,133875,2784,1002,828,0.01
3026,7,Urban,Middle but below matric or secondary,15-19,190389,14871,2389,2099,0.02
3027,7,Urban,Middle but below matric or secondary,20-24,94385,63696,35200,34884,0.74
3028,7,Urban,Middle but below matric or secondary,25-29,90532,83215,81522,80388,1.79
3029,7,Urban,Middle but below matric or secondary,30-34,73275,71372,92907,89449,2.49
3030,7,Urban,Middle but below matric or secondary,35-39,61617,60796,90557,82276,2.8
3031,7,Urban,Middle but below matric or secondary,40-44,45602,45195,71948,64148,2.98
3032,7,Urban,Middle but below matric or secondary,45-49,35070,34834,58335,50142,3.09
3033,7,Urban,Middle but below matric or secondary,50-54,24054,23882,42081,35645,3.23
3034,7,Urban,Middle but below matric or secondary,55-59,17755,17625,32411,27617,3.38
3035,7,Urban,Middle but below matric or secondary,60-64,16907,16426,30282,26904,3.38
3036,7,Urban,Middle but below matric or secondary,65-69,9828,9157,17072,15842,3.35
3037,7,Urban,Middle but below matric or secondary,70-74,6650,6492,12312,11425,3.57
3038,7,Urban,Middle but below matric or secondary,75-79,4118,4081,7825,7447,3.71
3039,7,Urban,Middle but below matric or secondary,80+,4079,3892,7290,6962,3.49
3040,7,Urban,Matric or secondary but below graduate,All Ages,1535634,995691,1069597,985737,1.34
3041,7,Urban,Matric or secondary but below graduate,Less than 15,0,0,0,0,
3042,7,Urban,Matric or secondary but below graduate,15-19,373830,27522,3950,3647,0.02
3043,7,Urban,Matric or secondary but below graduate,20-24,284154,128263,54918,53567,0.38
3044,7,Urban,Matric or secondary but below graduate,25-29,193077,168911,136440,134408,1.4
3045,7,Urban,Matric or secondary but below graduate,30-34,160210,154835,169109,160155,2.06
3046,7,Urban,Matric or secondary but below graduate,35-39,140854,138515,171501,153619,2.31
3047,7,Urban,Matric or secondary but below graduate,40-44,107408,106266,140758,124774,2.47
3048,7,Urban,Matric or secondary but below graduate,45-49,84242,83534,114916,102264,2.58
3049,7,Urban,Matric or secondary but below graduate,50-54,60728,60118,86674,76305,2.68
3050,7,Urban,Matric or secondary but below graduate,55-59,43764,43317,63937,57363,2.77
3051,7,Urban,Matric or secondary but below graduate,60-64,36218,35794,54124,49525,2.86
3052,7,Urban,Matric or secondary but below graduate,65-69,22753,21431,32191,30952,2.78
3053,7,Urban,Matric or secondary but below graduate,70-74,13809,13466,20241,19178,2.85
3054,7,Urban,Matric or secondary but below graduate,75-79,6957,6822,10778,10294,3.03
3055,7,Urban,Matric or secondary but below graduate,80+,6511,6191,9376,9169,2.85
3056,7,Urban,Graduate and above,All Ages,1211039,956413,791903,771740,1.29
3057,7,Urban,Graduate and above,Less than 15,0,0,0,0,
3058,7,Urban,Graduate and above,15-19,0,0,0,0,
3059,7,Urban,Graduate and above,20-24,211106,63819,16813,16574,0.16
3060,7,Urban,Graduate and above,25-29,250739,177641,83690,86975,0.68
3061,7,Urban,Graduate and above,30-34,188197,171975,131744,131645,1.4
3062,7,Urban,Graduate and above,35-39,145989,140002,129997,121757,1.72
3063,7,Urban,Graduate and above,40-44,114245,110881,111642,103440,1.88
3064,7,Urban,Graduate and above,45-49,95085,92796,97510,92736,2.0
3065,7,Urban,Graduate and above,50-54,76893,74986,81652,78381,2.08
3066,7,Urban,Graduate and above,55-59,55270,53864,59127,58031,2.12
3067,7,Urban,Graduate and above,60-64,34346,33404,37407,38337,2.21
3068,7,Urban,Graduate and above,65-69,17679,17022,19704,20044,2.25
3069,7,Urban,Graduate and above,70-74,10777,10245,11996,12513,2.27
3070,7,Urban,Graduate and above,75-79,5018,4811,5578,5959,2.3
3071,7,Urban,Graduate and above,80+,4691,4307,4595,4912,2.03
3072,8,Total,Total,All Ages,32997440,18750626,30690116,26668648,1.74
3073,8,Total,Total,Less than 15,11177283,166527,17779,15884,0.0
3074,8,Total,Total,15-19,3424143,986742,185499,161150,0.1
3075,8,Total,Total,20-24,3049011,2476897,1557499,1410426,0.97
3076,8,Total,Total,25-29,2585438,2494498,2873592,2590265,2.11
3077,8,Total,Total,30-34,2338114,2316244,3540019,3198393,2.88
3078,8,Total,Total,35-39,2132774,2122319,3792175,3366273,3.36
3079,8,Total,Total,40-44,1808439,1802066,3583385,3120336,3.71
3080,8,Total,Total,45-49,1536892,1532438,3300419,2819355,3.98
3081,8,Total,Total,50-54,1171801,1168147,2640174,2227367,4.15
3082,8,Total,Total,55-59,961583,958368,2288944,1922321,4.38
3083,8,Total,Total,60-64,886115,877434,2156455,1828349,4.5
3084,8,Total,Total,65-69,670905,662182,1703555,1440670,4.69
3085,8,Total,Total,70-74,526904,522919,1364648,1158266,4.79
3086,8,Total,Total,75-79,261639,259694,703542,589235,4.94
3087,8,Total,Total,80+,334312,325549,860883,718664,4.72
3088,8,Total,Illiterate,All Ages,18410570,11862895,23162210,20167251,2.35
3089,8,Total,Illiterate,Less than 15,6095577,46071,9642,8523,0.0
3090,8,Total,Illiterate,15-19,739140,364825,92848,81124,0.24
3091,8,Total,Illiterate,20-24,1118943,1057702,775168,708780,1.33
3092,8,Total,Illiterate,25-29,1253542,1242356,1640529,1497935,2.5
3093,8,Total,Illiterate,30-34,1353734,1348677,2299661,2109948,3.26
3094,8,Total,Illiterate,35-39,1391886,1388701,2724438,2446423,3.72
3095,8,Total,Illiterate,40-44,1271936,1269600,2743314,2404510,4.05
3096,8,Total,Illiterate,45-49,1139997,1138323,2636968,2262381,4.3
3097,8,Total,Illiterate,50-54,893242,891730,2149381,1819104,4.44
3098,8,Total,Illiterate,55-59,765748,764517,1922883,1619104,4.63
3099,8,Total,Illiterate,60-64,739213,736573,1879482,1594033,4.7
3100,8,Total,Illiterate,65-69,576521,573883,1520056,1285762,4.87
3101,8,Total,Illiterate,70-74,468771,466735,1243512,1055036,4.9
3102,8,Total,Illiterate,75-79,232231,231293,639680,535579,5.06
3103,8,Total,Illiterate,80+,298093,293760,796217,664632,4.9
3104,8,Total,Literate,All Ages,14586870,6887731,7527906,6501397,0.96
3105,8,Total,Literate,Less than 15,5081706,120456,8137,7361,0.0
3106,8,Total,Literate,15-19,2685003,621917,92651,80026,0.06
3107,8,Total,Literate,20-24,1930068,1419195,782331,701646,0.77
3108,8,Total,Literate,25-29,1331896,1252142,1233063,1092330,1.75
3109,8,Total,Literate,30-34,984380,967567,1240358,1088445,2.37
3110,8,Total,Literate,35-39,740888,733618,1067737,919850,2.68
3111,8,Total,Literate,40-44,536503,532466,840071,715826,2.9
3112,8,Total,Literate,45-49,396895,394115,663451,556974,3.07
3113,8,Total,Literate,50-54,278559,276417,490793,408263,3.23
3114,8,Total,Literate,55-59,195835,193851,366061,303217,3.42
3115,8,Total,Literate,60-64,146902,140861,276973,234316,3.48
3116,8,Total,Literate,65-69,94384,88299,183499,154908,3.59
3117,8,Total,Literate,70-74,58133,56184,121136,103230,3.86
3118,8,Total,Literate,75-79,29408,28401,63862,53656,4.0
3119,8,Total,Literate,80+,36219,31789,64666,54032,3.28
3120,8,Total,Literate but below primary,All Ages,3660309,812116,1106062,965293,0.57
3121,8,Total,Literate but below primary,Less than 15,2708624,34913,1452,1385,0.0
3122,8,Total,Literate but below primary,15-19,203080,63337,10176,8727,0.09
3123,8,Total,Literate but below primary,20-24,150316,132035,86337,78605,1.1
3124,8,Total,Literate but below primary,25-29,127185,125238,151959,136807,2.27
3125,8,Total,Literate but below primary,30-34,112314,111277,170898,153788,2.89
3126,8,Total,Literate but below primary,35-39,91691,91287,158335,139970,3.25
3127,8,Total,Literate but below primary,40-44,69148,68888,129749,112416,3.5
3128,8,Total,Literate but below primary,45-49,52632,52459,105088,88356,3.68
3129,8,Total,Literate but below primary,50-54,37476,37311,78102,65335,3.83
3130,8,Total,Literate but below primary,55-59,28504,28382,62666,51489,4.0
3131,8,Total,Literate but below primary,60-64,24003,23037,51349,43249,3.94
3132,8,Total,Literate but below primary,65-69,17004,16507,38052,32234,4.13
3133,8,Total,Literate but below primary,70-74,11480,11274,26868,23096,4.35
3134,8,Total,Literate but below primary,75-79,6450,6344,15763,13519,4.54
3135,8,Total,Literate but below primary,80+,7133,6545,15291,12841,3.94
3136,8,Total,Primary but below middle,All Ages,4380872,2104391,2485730,2167966,1.06
3137,8,Total,Primary but below middle,Less than 15,1746329,59280,3489,3231,0.0
3138,8,Total,Primary but below middle,15-19,717570,215416,34254,29823,0.09
3139,8,Total,Primary but below middle,20-24,513567,451451,283772,256115,1.05
3140,8,Total,Primary but below middle,25-29,369183,362981,413250,371182,2.12
3141,8,Total,Primary but below middle,30-34,280330,277526,399816,357801,2.7
3142,8,Total,Primary but below middle,35-39,212810,211581,342755,300019,3.02
3143,8,Total,Primary but below middle,40-44,154002,153220,268206,229952,3.23
3144,8,Total,Primary but below middle,45-49,114900,114419,212665,179421,3.41
3145,8,Total,Primary but below middle,50-54,82778,82386,160740,133286,3.55
3146,8,Total,Primary but below middle,55-59,59568,59281,122348,100648,3.74
3147,8,Total,Primary but below middle,60-64,47355,44670,94255,79321,3.67
3148,8,Total,Primary but below middle,65-69,29912,28380,62113,52672,3.84
3149,8,Total,Primary but below middle,70-74,17886,17335,38949,33098,4.03
3150,8,Total,Primary but below middle,75-79,9015,8837,20191,16980,4.12
3151,8,Total,Primary but below middle,80+,10740,9364,19442,16350,3.33
3152,8,Total,Middle but below matric or secondary,All Ages,2530873,1368518,1395432,1209697,1.03
3153,8,Total,Middle but below matric or secondary,Less than 15,536041,21830,2499,2165,0.01
3154,8,Total,Middle but below matric or secondary,15-19,725991,161798,24313,20922,0.06
3155,8,Total,Middle but below matric or secondary,20-24,392690,328218,189499,169691,0.91
3156,8,Total,Middle but below matric or secondary,25-29,261303,254155,262495,232281,1.89
3157,8,Total,Middle but below matric or secondary,30-34,185706,183611,239048,208765,2.41
3158,8,Total,Middle but below matric or secondary,35-39,134585,133359,193591,166903,2.68
3159,8,Total,Middle but below matric or secondary,40-44,93284,92646,144947,123549,2.88
3160,8,Total,Middle but below matric or secondary,45-49,66322,65898,109229,92257,3.04
3161,8,Total,Middle but below matric or secondary,50-54,45403,45139,79433,66090,3.21
3162,8,Total,Middle but below matric or secondary,55-59,30496,30225,56127,46887,3.38
3163,8,Total,Middle but below matric or secondary,60-64,21900,20778,39420,33500,3.33
3164,8,Total,Middle but below matric or secondary,65-69,13415,12002,23237,19864,3.21
3165,8,Total,Middle but below matric or secondary,70-74,7167,6841,13683,11847,3.56
3166,8,Total,Middle but below matric or secondary,75-79,3330,3147,6589,5589,3.66
3167,8,Total,Middle but below matric or secondary,80+,4352,3525,5945,5070,2.53
3168,8,Total,Matric or secondary but below graduate,All Ages,2242081,1217830,1072078,915197,0.89
3169,8,Total,Matric or secondary but below graduate,Less than 15,0,0,0,0,
3170,8,Total,Matric or secondary but below graduate,15-19,939839,143475,16774,14362,0.03
3171,8,Total,Matric or secondary but below graduate,20-24,489975,288826,126029,110755,0.48
3172,8,Total,Matric or secondary but below graduate,25-29,231398,218524,191366,164685,1.54
3173,8,Total,Matric or secondary but below graduate,30-34,167904,165273,186289,158623,2.05
3174,8,Total,Matric or secondary but below graduate,35-39,128208,126532,158469,132968,2.27
3175,8,Total,Matric or secondary but below graduate,40-44,91580,90850,120929,102720,2.44
3176,8,Total,Matric or secondary but below graduate,45-49,65933,65338,91958,77376,2.57
3177,8,Total,Matric or secondary but below graduate,50-54,44448,44080,65754,55268,2.72
3178,8,Total,Matric or secondary but below graduate,55-59,29523,29075,44811,38037,2.81
3179,8,Total,Matric or secondary but below graduate,60-64,19276,18919,30092,26183,2.92
3180,8,Total,Matric or secondary but below graduate,65-69,12440,10622,17061,14927,2.57
3181,8,Total,Matric or secondary but below graduate,70-74,6362,6022,10111,8774,2.97
3182,8,Total,Matric or secondary but below graduate,75-79,2867,2574,4366,3791,2.85
3183,8,Total,Matric or secondary but below graduate,80+,3823,2997,4167,3563,2.02
3184,8,Total,Graduate and above,All Ages,977035,764949,604205,511622,1.14
3185,8,Total,Graduate and above,Less than 15,0,0,0,0,
3186,8,Total,Graduate and above,15-19,0,0,0,0,
3187,8,Total,Graduate and above,20-24,270194,121723,38777,34281,0.27
3188,8,Total,Graduate and above,25-29,242427,194960,111882,96579,0.86
3189,8,Total,Graduate and above,30-34,153982,146707,127028,106930,1.52
3190,8,Total,Graduate and above,35-39,102443,100182,99800,82294,1.78
3191,8,Total,Graduate and above,40-44,71236,69910,74817,62178,1.92
3192,8,Total,Graduate and above,45-49,50907,49986,55743,47383,2.03
3193,8,Total,Graduate and above,50-54,35048,34255,40116,33458,2.1
3194,8,Total,Graduate and above,55-59,21834,21151,25068,21674,2.14
3195,8,Total,Graduate and above,60-64,12453,11959,14502,12795,2.19
3196,8,Total,Graduate and above,65-69,5853,5432,7148,6093,2.26
3197,8,Total,Graduate and above,70-74,3357,2994,3915,3500,2.21
3198,8,Total,Graduate and above,75-79,1477,1330,1816,1628,2.33
3199,8,Total,Graduate and above,80+,2051,1618,1656,1315,1.45
3200,8,Rural,Total,All Ages,24858605,14049024,23822662,20810480,1.8
3201,8,Rural,Total,Less than 15,8805049,141719,13311,11963,0.0
3202,8,Rural,Total,15-19,2578852,831098,151271,130935,0.11
3203,8,Rural,Total,20-24,2211087,1926322,1241116,1123258,1.07
3204,8,Rural,Total,25-29,1850840,1822529,2214211,1999444,2.28
3205,8,Rural,Total,30-34,1696706,1688383,2712635,2464551,3.05
3206,8,Rural,Total,35-39,1544561,1539898,2896635,2592871,3.55
3207,8,Rural,Total,40-44,1314207,1311291,2747272,2415123,3.93
3208,8,Rural,Total,45-49,1115603,1113540,2528577,2180670,4.22
3209,8,Rural,Total,50-54,849535,847843,2016864,1718251,4.4
3210,8,Rural,Total,55-59,715210,713723,1783637,1507993,4.6
3211,8,Rural,Total,60-64,677057,671138,1709963,1455194,4.67
3212,8,Rural,Total,65-69,522444,516560,1367441,1157815,4.83
3213,8,Rural,Total,70-74,412974,410506,1097903,931512,4.91
3214,8,Rural,Total,75-79,202628,201509,561257,469436,5.09
3215,8,Rural,Total,80+,256021,250452,681374,568059,4.88
3216,8,Rural,Illiterate,All Ages,15291408,10059186,19703982,17224591,2.41
3217,8,Rural,Illiterate,Less than 15,4876055,40678,8050,7129,0.0
3218,8,Rural,Illiterate,15-19,630677,322431,79378,69106,0.24
3219,8,Rural,Illiterate,20-24,961015,918041,670469,612950,1.34
3220,8,Rural,Illiterate,25-29,1072816,1066160,1414598,1291924,2.52
3221,8,Rural,Illiterate,30-34,1154072,1151022,1974037,1815389,3.28
3222,8,Rural,Illiterate,35-39,1175510,1173510,2319153,2090532,3.75
3223,8,Rural,Illiterate,40-44,1071056,1069563,2329576,2053812,4.09
3224,8,Rural,Illiterate,45-49,956095,954975,2231028,1928200,4.35
3225,8,Rural,Illiterate,50-54,747359,746295,1814864,1547854,4.5
3226,8,Rural,Illiterate,55-59,645702,644819,1636637,1385488,4.68
3227,8,Rural,Illiterate,60-64,624073,622063,1601911,1363935,4.75
3228,8,Rural,Illiterate,65-69,487550,485503,1297426,1099628,4.92
3229,8,Rural,Illiterate,70-74,392817,391308,1053349,894101,4.96
3230,8,Rural,Illiterate,75-79,193198,192517,539298,451352,5.13
3231,8,Rural,Illiterate,80+,241584,238497,657091,548093,4.99
3232,8,Rural,Literate,All Ages,9567197,3989838,4118680,3585889,0.81
3233,8,Rural,Literate,Less than 15,3928994,101041,5261,4834,0.0
3234,8,Rural,Literate,15-19,1948175,508667,71893,61829,0.07
3235,8,Rural,Literate,20-24,1250072,1008281,570647,510308,0.86
3236,8,Rural,Literate,25-29,778024,756369,799613,707520,1.94
3237,8,Rural,Literate,30-34,542634,537361,738598,649162,2.56
3238,8,Rural,Literate,35-39,369051,366388,577482,502339,2.93
3239,8,Rural,Literate,40-44,243151,241728,417696,361311,3.2
3240,8,Rural,Literate,45-49,159508,158565,297549,252470,3.45
3241,8,Rural,Literate,50-54,102176,101548,202000,170397,3.64
3242,8,Rural,Literate,55-59,69508,68904,147000,122505,3.88
3243,8,Rural,Literate,60-64,52984,49075,108052,91259,3.76
3244,8,Rural,Literate,65-69,34894,31057,70015,58187,3.67
3245,8,Rural,Literate,70-74,20157,19198,44554,37411,4.07
3246,8,Rural,Literate,75-79,9430,8992,21959,18084,4.25
3247,8,Rural,Literate,80+,14437,11955,24283,19966,3.06
3248,8,Rural,Literate but below primary,All Ages,2844029,593385,756734,665512,0.5
3249,8,Rural,Literate but below primary,Less than 15,2142690,30554,1126,1062,0.0
3250,8,Rural,Literate but below primary,15-19,168898,55386,8251,7065,0.09
3251,8,Rural,Literate but below primary,20-24,120189,107807,69901,63602,1.11
3252,8,Rural,Literate but below primary,25-29,99055,97959,118860,107304,2.28
3253,8,Rural,Literate but below primary,30-34,85048,84368,130084,116882,2.9
3254,8,Rural,Literate but below primary,35-39,66312,66050,115107,102303,3.28
3255,8,Rural,Literate but below primary,40-44,47666,47509,89821,78950,3.54
3256,8,Rural,Literate but below primary,45-49,33729,33626,68032,57910,3.73
3257,8,Rural,Literate but below primary,50-54,22415,22320,47719,40213,3.92
3258,8,Rural,Literate but below primary,55-59,16052,15987,36051,29872,4.11
3259,8,Rural,Literate but below primary,60-64,12732,11963,27303,22991,3.95
3260,8,Rural,Literate but below primary,65-69,8140,7768,18301,15308,4.13
3261,8,Rural,Literate but below primary,70-74,4816,4689,11435,9734,4.4
3262,8,Rural,Literate but below primary,75-79,2419,2367,6115,5094,4.63
3263,8,Rural,Literate but below primary,80+,2888,2475,5697,4662,3.59
3264,8,Rural,Primary but below middle,All Ages,3207006,1450651,1560707,1373761,0.92
3265,8,Rural,Primary but below middle,Less than 15,1345151,50109,2374,2245,0.0
3266,8,Rural,Primary but below middle,15-19,587014,184765,27700,24092,0.09
3267,8,Rural,Primary but below middle,20-24,399465,357354,223056,200647,1.06
3268,8,Rural,Primary but below middle,25-29,271831,268534,307510,275359,2.14
3269,8,Rural,Primary but below middle,30-34,196644,194978,281892,252223,2.72
3270,8,Rural,Primary but below middle,35-39,136265,135513,221234,194973,3.05
3271,8,Rural,Primary but below middle,40-44,90829,90346,159990,138309,3.28
3272,8,Rural,Primary but below middle,45-49,59682,59405,112576,96573,3.5
3273,8,Rural,Primary but below middle,50-54,39203,39001,77731,65924,3.66
3274,8,Rural,Primary but below middle,55-59,25993,25822,55149,46114,3.9
3275,8,Rural,Primary but below middle,60-64,19559,17566,38458,32713,3.64
3276,8,Rural,Primary but below middle,65-69,11321,10170,22832,19033,3.7
3277,8,Rural,Primary but below middle,70-74,5803,5446,12472,10504,3.96
3278,8,Rural,Primary but below middle,75-79,2467,2368,5478,4639,4.1
3279,8,Rural,Primary but below middle,80+,3983,3078,5566,4665,2.57
3280,8,Rural,Middle but below matric or secondary,All Ages,1645783,825821,738237,643768,0.84
3281,8,Rural,Middle but below matric or secondary,Less than 15,369264,16635,1267,1120,0.01
3282,8,Rural,Middle but below matric or secondary,15-19,548493,132241,18870,16024,0.06
3283,8,Rural,Middle but below matric or secondary,20-24,278239,238018,137111,122256,0.93
3284,8,Rural,Middle but below matric or secondary,25-29,167187,163963,171370,150997,1.93
3285,8,Rural,Middle but below matric or secondary,30-34,109650,108734,143763,124574,2.45
3286,8,Rural,Middle but below matric or secondary,35-39,68090,67433,99745,85974,2.73
3287,8,Rural,Middle but below matric or secondary,40-44,40476,40150,64146,55711,2.96
3288,8,Rural,Middle but below matric or secondary,45-49,23425,23204,39664,34239,3.15
3289,8,Rural,Middle but below matric or secondary,50-54,13613,13491,24613,20870,3.34
3290,8,Rural,Middle but below matric or secondary,55-59,8107,7988,15444,13221,3.54
3291,8,Rural,Middle but below matric or secondary,60-64,5335,4614,9131,7763,3.17
3292,8,Rural,Middle but below matric or secondary,65-69,3634,2641,4847,4048,2.45
3293,8,Rural,Middle but below matric or secondary,70-74,1530,1359,2536,2163,3.07
3294,8,Rural,Middle but below matric or secondary,75-79,580,483,941,810,3.02
3295,8,Rural,Middle but below matric or secondary,80+,1607,1121,1337,1168,1.56
3296,8,Rural,Matric or secondary but below graduate,All Ages,1111216,542799,378621,322133,0.63
3297,8,Rural,Matric or secondary but below graduate,Less than 15,0,0,0,0,
3298,8,Rural,Matric or secondary but below graduate,15-19,566310,104841,11457,9710,0.04
3299,8,Rural,Matric or secondary but below graduate,20-24,275112,178720,77600,67629,0.53
3300,8,Rural,Matric or secondary but below graduate,25-29,108538,104213,93813,79654,1.6
3301,8,Rural,Matric or secondary but below graduate,30-34,65596,64857,74801,62651,2.1
3302,8,Rural,Matric or secondary but below graduate,35-39,39416,38822,50128,41790,2.33
3303,8,Rural,Matric or secondary but below graduate,40-44,22286,22079,29910,25966,2.51
3304,8,Rural,Matric or secondary but below graduate,45-49,12076,11880,17292,14625,2.64
3305,8,Rural,Matric or secondary but below graduate,50-54,6466,6375,9725,8187,2.77
3306,8,Rural,Matric or secondary but below graduate,55-59,3586,3454,5327,4564,2.76
3307,8,Rural,Matric or secondary but below graduate,60-64,2027,1916,3061,2634,2.81
3308,8,Rural,Matric or secondary but below graduate,65-69,2233,1252,1616,1491,1.39
3309,8,Rural,Matric or secondary but below graduate,70-74,781,636,805,715,1.95
3310,8,Rural,Matric or secondary but below graduate,75-79,397,283,415,332,1.88
3311,8,Rural,Matric or secondary but below graduate,80+,1091,707,646,525,1.07
3312,8,Rural,Graduate and above,All Ages,225802,173200,114499,94769,0.93
3313,8,Rural,Graduate and above,Less than 15,0,0,0,0,
3314,8,Rural,Graduate and above,15-19,0,0,0,0,
3315,8,Rural,Graduate and above,20-24,96482,54329,18709,16428,0.36
3316,8,Rural,Graduate and above,25-29,65898,57545,35510,29836,0.99
3317,8,Rural,Graduate and above,30-34,31562,30653,27576,22196,1.58
3318,8,Rural,Graduate and above,35-39,14830,14635,15041,12054,1.83
3319,8,Rural,Graduate and above,40-44,7399,7270,7992,6528,1.96
3320,8,Rural,Graduate and above,45-49,3754,3682,4357,3410,2.07
3321,8,Rural,Graduate and above,50-54,1957,1892,2203,1805,2.05
3322,8,Rural,Graduate and above,55-59,1037,991,1209,987,2.12
3323,8,Rural,Graduate and above,60-64,521,495,563,492,2.02
3324,8,Rural,Graduate and above,65-69,292,224,266,211,1.63
3325,8,Rural,Graduate and above,70-74,220,147,172,132,1.38
3326,8,Rural,Graduate and above,75-79,85,65,65,49,1.34
3327,8,Rural,Graduate and above,80+,284,208,156,131,1.01
3328,8,Urban,Total,All Ages,8138835,4701602,6867454,5858168,1.56
3329,8,Urban,Total,Less than 15,2372234,24808,4468,3921,0.0
3330,8,Urban,Total,15-19,845291,155644,34228,30215,0.08
3331,8,Urban,Total,20-24,837924,550575,316383,287168,0.72
3332,8,Urban,Total,25-29,734598,671969,659381,590821,1.7
3333,8,Urban,Total,30-34,641408,627861,827384,733842,2.43
3334,8,Urban,Total,35-39,588213,582421,895540,773402,2.84
3335,8,Urban,Total,40-44,494232,490775,836113,705213,3.12
3336,8,Urban,Total,45-49,421289,418898,771842,638685,3.35
3337,8,Urban,Total,50-54,322266,320304,623310,509116,3.51
3338,8,Urban,Total,55-59,246373,244645,505307,414328,3.73
3339,8,Urban,Total,60-64,209058,206296,446492,373155,3.92
3340,8,Urban,Total,65-69,148461,145622,336114,282855,4.17
3341,8,Urban,Total,70-74,113930,112413,266745,226754,4.33
3342,8,Urban,Total,75-79,59011,58185,142285,119799,4.44
3343,8,Urban,Total,80+,78291,75097,179509,150605,4.22
3344,8,Urban,Illiterate,All Ages,3119162,1803709,3458228,2942660,2.05
3345,8,Urban,Illiterate,Less than 15,1219522,5393,1592,1394,0.0
3346,8,Urban,Illiterate,15-19,108463,42394,13470,12018,0.23
3347,8,Urban,Illiterate,20-24,157928,139661,104699,95830,1.27
3348,8,Urban,Illiterate,25-29,180726,176196,225931,206011,2.39
3349,8,Urban,Illiterate,30-34,199662,197655,325624,294559,3.11
3350,8,Urban,Illiterate,35-39,216376,215191,405285,355891,3.52
3351,8,Urban,Illiterate,40-44,200880,200037,413738,350698,3.81
3352,8,Urban,Illiterate,45-49,183902,183348,405940,334181,4.02
3353,8,Urban,Illiterate,50-54,145883,145435,334517,271250,4.15
3354,8,Urban,Illiterate,55-59,120046,119698,286246,233616,4.33
3355,8,Urban,Illiterate,60-64,115140,114510,277571,230098,4.41
3356,8,Urban,Illiterate,65-69,88971,88380,222630,186134,4.59
3357,8,Urban,Illiterate,70-74,75954,75427,190163,160935,4.62
3358,8,Urban,Illiterate,75-79,39033,38776,100382,84227,4.73
3359,8,Urban,Illiterate,80+,56509,55263,139126,116539,4.52
3360,8,Urban,Literate,All Ages,5019673,2897893,3409226,2915508,1.26
3361,8,Urban,Literate,Less than 15,1152712,19415,2876,2527,0.0
3362,8,Urban,Literate,15-19,736828,113250,20758,18197,0.05
3363,8,Urban,Literate,20-24,679996,410914,211684,191338,0.59
